_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode
180,6973578,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,084-N Chandni Chowk,,,1,3,1,5,3,110006,2,2,3,0,2,4,0,0,0,0,0,1,1,2,223,1,6,3,0,0,0,0,
181,8048084,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,095-S Badarpur,,,1,1,1,5,3,110044,2,1,3,0,2,4,0,0,0,0,0,1,2,2,213,1,0,0,22,0,0,0,
182,1907537,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,062-E Sadatpur,,,1,2,1,5,3,110094,2,1,3,0,2,4,0,0,0,0,0,1,1,2,225,1,0,57,0,0,0,24,
183,4073608,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,037-E Ram Nagar,,,1,3,1,5,3,110093,2,2,3,0,2,4,0,0,0,0,0,1,1,2,225,1,20,17,0,0,0,0,
189,5574004,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,029-S Bindapur,,,5,1,6,12,1,110058,2,2,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
193,8786748,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,077-N Model Town,,,6,3,1,10,1,110007,2,2,3,0,2,4,19,0,0,1,0,1,1,2,220,1,5,14,0,0,0,0,
196,7669558,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,012-N Timarpur,,,5,1,6,12,1,110054,2,1,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
197,1391207,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,062-N Shalimar Bagh -North,,,5,2,6,12,1,110088,2,2,3,0,2,4,0,0,0,1,1,1,9,9,230,1,0,0,0,0,0,0,
198,3408346,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,074-N Nimri Colony,,,3,3,1,12,1,110052,2,1,3,0,2,4,19,0,0,1,1,1,1,2,220,1,32,40,1,0,0,0,
202,5101510,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,080-N Sadar Bazar,,,1,3,1,5,3,110006,2,2,3,0,2,4,19,0,0,0,0,1,1,2,216,1,21,13,0,0,0,0,
