_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
5155,2942565,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,035-S Kakraula,,,2,3,1,8,5,110078,2,2,3,0,2,19,0,0,0,0,0,1,1,9,230,1,19,11,0,0,0,0
5156,6328018,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,045-E Yamuna Vihar,,,2,3,1,8,5,110053,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,2,2,8,4,0,0
5157,1451033,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,092-S Harkesh Nagar,,,1,2,1,5,3,110020,2,2,3,0,2,4,0,0,0,0,0,1,2,2,220,1,0,0,0,0,0,0
5158,5678594,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,034-E New Seemapuri,,,1,2,1,5,3,110095,2,1,3,0,2,18,19,0,0,0,0,1,1,2,225,1,0,23,0,0,0,2
5159,4226224,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,103-S Madanpur Khadar,,,1,2,1,5,3,110076,2,2,3,0,2,4,19,0,0,0,0,1,2,2,215,1,0,0,0,0,0,0
5160,7989651,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,006-E Gharoli,,,1,1,1,5,3,110096,2,1,3,0,2,4,0,0,0,0,0,1,2,2,226,1,0,0,12,0,0,0
5161,9993561,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,024-S Bapraula,,,1,1,1,5,3,110043,2,1,3,0,2,4,19,0,0,0,0,1,2,2,220,1,0,0,17,0,0,0
5162,3649518,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,096-N Ranjit Nagar,,,1,2,1,5,3,110008,2,1,3,0,2,4,19,0,0,0,0,1,1,2,225,1,0,32,0,0,0,0
5163,8545588,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,016-N Sarai Pepal Thalla,,,1,3,1,5,5,110033,2,2,3,0,2,19,0,0,0,0,0,1,2,9,225,1,0,0,2,0,0,0
5164,2244807,DELHI,CENTRAL,2,North Delhi Municipal Corporation-Municipal Corporations,088-N Delhi Gate,,,1,3,1,5,5,110002,2,2,3,0,2,19,0,0,0,0,0,1,1,9,226,1,12,8,2,0,0,0
5165,5131495,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,020-E Preet Vihar,,,1,3,1,5,5,110092,2,2,3,0,2,19,0,0,0,0,0,1,1,9,200,1,63,54,0,0,0,0
5166,5949788,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,096-N Ranjit Nagar,,,7,3,6,10,4,110008,2,2,3,0,1,4,19,0,0,1,0,1,9,9,220,1,0,0,0,0,0,0
5167,7697467,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,059-S Andrews Ganj,,,3,2,1,12,1,110049,2,2,3,0,2,4,19,0,0,1,1,1,1,1,220,1,0,17,0,2,0,2
5168,2066311,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,055-N Mangol Puri-B,,,3,1,1,12,1,110083,2,1,3,0,2,4,19,0,0,1,1,1,1,2,220,1,33,0,1,0,0,0
5169,1782793,DELHI,NEW DELHI,2,New Delhi Municipal Council-NCT Municipal Council,ward-1,,,3,3,1,12,3,110026,2,2,3,0,2,4,0,0,0,1,1,1,1,2,220,1,15,18,0,0,0,0
5170,3176355,DELHI,WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,007-S Vishnu Garden,,,3,1,1,12,1,110018,2,2,3,0,2,4,19,0,0,1,1,1,1,2,224,1,31,0,11,0,0,0
5171,1191480,DELHI,SOUTH WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,066-S Munirka,,,3,3,1,12,1,110067,2,2,3,0,2,4,19,0,0,1,1,1,1,2,220,1,34,33,0,1,0,0
5172,5286909,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,009-E Mandawali,,,3,2,1,12,1,110092,2,1,3,0,2,19,4,0,0,1,1,1,1,2,220,1,0,72,0,1,0,0
5173,3519307,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,007-N Burari,,,2,3,1,8,5,110084,2,2,3,0,2,19,0,0,0,0,0,1,2,9,226,1,0,0,13,10,0,0
5174,7794072,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,055-E Harsh Vihar,,,7,1,6,10,1,110093,2,2,3,0,2,4,0,0,0,1,0,1,9,9,220,1,0,0,0,0,0,0
5175,7931506,DELHI,NORTH WEST B-II,2,North Delhi Municipal Corporation-Municipal Corporations,035-N Kanjhawala,,,3,3,1,12,5,110081,2,2,3,0,1,19,0,0,0,1,1,1,1,9,230,1,6,4,1,1,0,0
5176,6409750,DELHI,NEW DELHI,2,New Delhi Municipal Council-NCT Municipal Council,ward-1,,,5,2,6,12,4,110001,2,2,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0
5177,4227907,DELHI,WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,009-S Subhash Nagar,,,3,3,1,12,1,110027,2,2,3,0,2,4,19,0,0,1,1,1,1,2,220,1,19,14,2,6,0,0
5178,8345210,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,077-N Model Town,,,5,1,6,12,1,110009,2,2,3,0,2,4,19,0,0,1,1,1,9,9,233,1,0,0,0,0,0,0
5179,2739759,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,007-N Burari,,,5,2,6,12,1,110084,2,1,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0
5180,4372311,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,MUNDKA,,,3,3,1,12,5,110041,2,2,3,0,2,19,0,0,0,1,1,1,1,9,250,1,42,41,2,1,0,0
5181,6161267,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,078-N Kamla Nagar,,,6,3,1,10,4,110007,2,2,3,0,2,4,0,0,0,1,0,1,2,2,220,1,0,0,0,0,0,0
5182,6873809,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,061-E Karawal Nagar-West,,,6,3,1,10,5,110094,2,2,3,0,2,19,0,0,0,1,1,1,2,9,220,1,1,0,4,1,0,1
5183,6035660,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,034-N Rohini D,,,3,3,1,12,5,110086,2,2,3,0,2,19,0,0,0,1,1,1,2,9,220,1,0,0,34,19,0,0
5184,5508055,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,001-N Narela,,,3,3,1,12,5,110040,2,2,3,0,2,19,0,0,0,1,1,1,1,9,226,1,48,34,23,17,0,0
5185,5848266,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,095-S Badarpur,,,5,1,6,12,1,110044,2,2,3,0,2,4,0,0,0,1,1,1,9,9,222,1,0,0,0,0,0,0
5186,5389021,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,045-N Sultan Puri-A,,,3,3,1,12,1,110086,2,1,3,0,2,4,19,0,0,1,1,1,1,2,224,1,0,67,0,5,0,0
5187,7355124,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,011-E Mayur Vihar Phase-II,,,1,3,1,5,3,110091,2,2,3,0,2,4,19,0,0,0,0,1,1,2,220,1,15,12,0,0,0,0
5188,8180771,DELHI,NORTH WEST B-II,2,North Delhi Municipal Corporation-Municipal Corporations,059-N Rohini-H,,,1,3,1,5,3,110085,2,2,3,0,2,4,0,0,0,0,0,1,1,2,223,1,13,19,1,1,0,0
5189,2908211,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,013-E Kishan Kunj,,,1,3,1,5,3,110092,2,2,3,0,2,4,19,0,0,0,0,1,1,2,225,1,25,14,0,0,0,0
5190,6319034,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,NITHARI,,,1,1,1,5,3,110086,2,1,3,0,2,4,0,0,0,0,0,1,2,2,220,1,0,0,17,0,0,0
5191,2682167,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,095-N East Patel Nagar,,,1,2,1,5,3,110005,2,2,3,0,2,4,0,0,0,0,0,1,1,2,220,1,0,30,0,0,0,0
5192,4405848,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,049-S Kapashera,,,1,2,1,5,3,110037,2,2,3,0,2,4,19,0,0,0,0,1,2,2,226,1,0,0,0,0,0,1
